category,bfs
runtime,39.50985622406006
llc_references,6745078.471502591
llc_misses,2861719.067357513
instructions,5365093944.352332
cycles,2189682909.0932646
stall_cycles,345556291.73575133
intra_coh,170397.46113989636
inter_coh,0.5958549222797928
wall_cycles,2104411298.031088
llc_size,160082715.85492226
local_mem,263033659.68911916
remote_mem,1084909.4300518136
