category,ntail-masstree,ferret
runtime,32.10409593582153,75.26098799705505
llc_references,6981566.043165468,107928378.38108882
llc_misses,1332110.5755395684,41605865.14326648
instructions,336956306.9784173,21145426571.7192
cycles,666801926.4748201,14502208928.524357
stall_cycles,365344128.705036,4286113185.601719
intra_coh,799669.4964028777,90360.98853868194
inter_coh,69.06474820143885,0.3151862464183381
wall_cycles,2116957741.3309355,2176758395.558739
llc_size,164342128.34532374,141616911.40401146
local_mem,161812627.33812952,756282623.2664757
remote_mem,1506385.035971223,8187305.444126074
