category,ntail-sphinx,streamcluster
runtime,22.70372986793518,87.06833028793335
llc_references,261514830.94444448,255167052.88056207
llc_misses,122385940.1111111,197980936.9320843
instructions,11276458241.222221,11548342921.814987
cycles,16374955441.333334,15802793157.177986
stall_cycles,9937679495.444445,10104143290.29274
intra_coh,44897.27777777778,15276645.081967212
inter_coh,1.6666666666666665,0.48009367681498827
wall_cycles,2123592886.222222,2104684579.5901637
llc_size,112754688.0,185113108.38407493
local_mem,7555270428.444444,11689218134.332552
remote_mem,29440227.555555556,10565569.648711944
