category,dedup,ntail-moses
runtime,10.254220962524414,76.07440638542175
llc_references,26564979.431818184,27581801.353276353
llc_misses,8951740.0,16082604.401709402
instructions,12497471176.022728,1119908630.3133903
cycles,7053514839.318181,898219296.994302
stall_cycles,1727946312.159091,410016842.3076923
intra_coh,2089644.3181818184,918193.7749287749
inter_coh,0.2272727272727273,60.58404558404558
wall_cycles,2139742457.5,2104923169.985755
llc_size,66407330.90909091,197879510.42735043
local_mem,1135284596.3636365,1566838795.6695156
remote_mem,3626821.8181818184,15095685.47008547
