category,ntail-masstree,fluidanimate
runtime,31.96437692642212,90.54630494117737
llc_references,7301057.769784173,53675443.90330189
llc_misses,1329537.5539568346,38577195.74292453
instructions,354949468.9928058,21012363700.247643
cycles,684540342.0143884,12221329973.195755
stall_cycles,371661875.32374096,2940940534.551887
intra_coh,905440.1079136691,2753571.9221698116
inter_coh,71.00719424460432,0.09433962264150943
wall_cycles,2115696303.23741,2160944565.9198112
llc_size,170275729.4964029,150936054.33962265
local_mem,163835285.17985612,3103816646.037736
remote_mem,1360225.6115107914,16030043.773584906
