category,ntail-sphinx,swaptions
runtime,27.744551420211792,46.26216101646423
llc_references,254404969.27966103,393188.00925925927
llc_misses,65770290.84745763,60719.42129629629
instructions,11075887300.29661,4436916360.138889
cycles,12307837711.652544,1941242696.8055556
stall_cycles,6063114683.51695,219598786.25
intra_coh,16298.050847457627,67076.04166666667
inter_coh,2.330508474576271,0.046296296296296294
wall_cycles,2116846780.2542374,2107363479.8842595
llc_size,192870226.44067797,4420645.925925925
local_mem,4110909440.0,3982222.2222222225
remote_mem,10771785.762711864,50062.222222222226
