category,CG,SP
runtime,126.8120985031128,161.43631386756897
llc_references,577447295.4625199,635620032.7596996
llc_misses,109743875.09569378,367602524.5869837
instructions,6109829426.188198,25247983870.707134
cycles,16242479179.704945,16284977066.138924
stall_cycles,12621570138.556618,6452628301.89612
intra_coh,269518.0701754386,60277.24030037547
inter_coh,0.023923444976076555,0.006257822277847309
wall_cycles,2104183671.8819776,2103245553.172716
llc_size,51293156.23604465,169609874.74342927
local_mem,7127239116.555024,30297552401.30163
remote_mem,13473030.940988837,109014501.72715895
