category,cfd,ntail-img-dnn
runtime,64.47219586372375,77.64868068695068
llc_references,89152692.25165562,161256619.67032966
llc_misses,30351441.705298014,9692642.898351647
instructions,30450594693.592716,4472983467.239011
cycles,15973497312.58278,2208121557.087912
stall_cycles,2896740558.6589403,339628377.29395604
intra_coh,970196.1092715232,185623.36538461538
inter_coh,0.016556291390728478,46.14010989010989
wall_cycles,2104340494.1721854,2103776326.7307692
llc_size,72095025.16556291,79574027.25274725
local_mem,944777392.3178809,493903781.978022
remote_mem,2020331.655629139,2305462.8571428573
