category,ntail-xapian,canneal
runtime,51.80136227607727,310.7442452907562
llc_references,35322517.319148935,8843443.93455099
llc_misses,11188500.212765958,6935755.780060883
instructions,3950909545.702128,314353332.3744292
cycles,2605944587.2978725,1641101392.7891934
stall_cycles,776919680.0,1432169426.2747335
intra_coh,42984.063829787236,414458.5768645358
inter_coh,157.7659574468085,0.0
wall_cycles,2108215679.9787235,2466429148.740487
llc_size,172846319.65957448,10590996.651445966
local_mem,34598824.85106383,601731951.0502284
remote_mem,1632822.4680851065,1036655.8295281583
