category,ntail-sphinx,UA
runtime,27.339914083480835,94.56827449798584
llc_references,256322108.3189655,25640592.283653844
llc_misses,68302002.19827586,19187009.6875
instructions,11147663600.301723,2301333347.3197117
cycles,12480220342.974138,1384906959.2668269
stall_cycles,6206030669.655172,394033197.3798077
intra_coh,17372.758620689656,18371.28605769231
inter_coh,2.543103448275862,0.0
wall_cycles,2119887092.198276,2337107054.3269234
llc_size,171286245.5172414,56553156.92307692
local_mem,3461292314.4827585,1972565070.7692308
remote_mem,8429285.51724138,13381316.923076922
