category,ntail-sphinx,swaptions
runtime,24.954418897628784,28.537139177322388
llc_references,262168724.6153846,406869.2957746479
llc_misses,92080203.22115384,142717.4647887324
instructions,11339679882.355768,3819542565.7746477
cycles,14040872816.442308,1683322480.8450704
stall_cycles,7613067196.442307,194903540.84507042
intra_coh,24389.855769230773,57719.08450704225
inter_coh,2.1153846153846154,0.07042253521126761
wall_cycles,2121144945.2884614,3734483314.8591547
llc_size,169076578.4615385,1910697.4647887326
local_mem,6957667249.230768,3299876.056338028
remote_mem,44696812.30769231,2515290.1408450706
