category,ntail-masstree,canneal
runtime,32.20406627655029,62.076338052749634
llc_references,7481801.762589928,67647675.23809524
llc_misses,1911330.9352517987,38108312.75510204
instructions,380222691.9784173,2144909464.9489796
cycles,681550761.7266188,7973599421.7517
stall_cycles,360832819.1007194,6585947952.040816
intra_coh,883256.2949640288,188354.30272108843
inter_coh,35.61151079136691,0.0
wall_cycles,2111817947.6618705,2104330666.3435373
llc_size,77865254.676259,166750110.47619048
local_mem,215405987.91366905,2856139128.1632657
remote_mem,1760985.3237410074,2740697.6870748303
