category,ntail-sphinx,SP
runtime,23.441540479660034,147.8001959323883
llc_references,168988879.41489363,689080103.6889818
llc_misses,117174245.15957446,374571448.11018133
instructions,7142995977.925531,27726290564.874477
cycles,16315970981.80851,16244561855.334728
stall_cycles,12116802527.925531,5558910922.3361225
intra_coh,65316.22340425532,40751.89679218968
inter_coh,0.425531914893617,0.02092050209205021
wall_cycles,2124130553.244681,2103294522.3221757
llc_size,54248469.78723404,202079844.68619245
local_mem,8055165712.3404255,24691573695.732216
remote_mem,27967836.59574468,83547431.63179916
