category,SparkGPULRCpu,SparkDSLRCpu
runtime,34.70386552810669,43.34172797203064
llc_references,124153706.94610777,103959409.78571428
llc_misses,873941653.9520957,839036199.0238096
instructions,2047387863.5928144,1947028902.357143
cycles,3737018239.610779,3646243725.3571424
gpu_core_util,0.7784431137724551,0.6190476190476191
gpu_core_freq,5610.0,5610.0
gpu_emc_util,24.491017964071858,22.285714285714285
gpu_emc_freq,8000.0,8000.0
