category,GpuKMeansBatchGpu_bg_core(4-5),"GpuKMeansBatchGpu_fg_core(0,3)"
runtime,67.4853892326355,69.89229607582092
llc_references,104846119.41896024,103955113.56932154
llc_misses,842564863.0733944,835523578.7463127
instructions,1941814511.911315,1934057594.6755161
cycles,3719468329.9541283,3677859496.637168
gpu_core_util,11.28440366972477,13.982300884955752
gpu_core_freq,5610.0,5610.0
gpu_emc_util,32.2782874617737,32.24188790560472
gpu_emc_freq,8000.0,8000.0
