category,ntail-xapian,UA
runtime,48.381091833114624,165.7958278656006
llc_references,35399011.93181819,269529216.10771114
llc_misses,12348909.022727273,186981711.6891065
instructions,3948549065.068182,23795080046.627907
cycles,2876326698.909091,15901233922.301102
stall_cycles,1047385037.3636364,5415507977.190943
intra_coh,54471.77272727273,349933.6168910649
inter_coh,36.56818181818182,0.08567931456548347
wall_cycles,2108400323.7272727,2102530273.629131
llc_size,63525236.36363637,192011656.30354956
local_mem,4216516235.6363635,21749348494.883724
remote_mem,15210309.81818182,107165397.6988984
