category,ntail-moses,swaptions
runtime,75.92657327651978,103.16246557235718
llc_references,26460439.804469272,7417677.453798768
llc_misses,15220398.924581006,114174.20944558522
instructions,1056100439.944134,14307157662.11499
cycles,824253308.4916201,6388004037.731007
stall_cycles,368760858.5614525,811399856.0780287
intra_coh,536482.3743016759,5743930.7905544145
inter_coh,44.79050279329609,0.4004106776180698
wall_cycles,2105130057.6396646,2152758607.7002053
llc_size,203958832.62569833,6116917.618069815
local_mem,1224633521.3407822,8279471.047227927
remote_mem,14982664.581005588,6061070.718685832
