category,SparkDSLRGpu
runtime,34.47758984565735
r016,166892642.88235295
r013,1359507525.9411764
instructions,3092012066.5882354
cycles,5523528664.882353
gr3d,0.0
gr3d_freq,140.0
emc,3.0
emc_freq,1866.0
