category,inceptionv3-eval-gpu,inceptionv3-train-cpu
runtime,23.7885160446167,1018.3175783157349
llc_references,71244284.3859649,18604415.518972095
llc_misses,9685368.684210526,1544021.902228468
instructions,1546940778.640351,4801143666.391287
cycles,2092219126.0964913,3992650415.975708
gpu_core_util,86.8859649122807,2.6400321220638427
gpu_core_freq,6500.0,6500.0
gpu_emc_util,32.06140350877193,1.0148564545272034
gpu_emc_freq,9330.0,9330.0
