category,SP
runtime,146.10422897338867
llc_references,688572337.6035912
llc_misses,359662634.6685083
instructions,27916021325.393646
cycles,16276112876.312157
stall_cycles,5531049900.055248
intra_coh,30593.89502762431
inter_coh,0.006906077348066298
wall_cycles,2102565734.7997236
llc_size,209335923.97790056
local_mem,26841235999.11602
remote_mem,95002759.77900551
