category,ntail-masstree,fluidanimate
runtime,31.933976650238037,70.2106442451477
llc_references,7502906.6546762595,67481006.57185629
llc_misses,2389607.6258992804,47613872.14071856
instructions,370364871.36690646,26715910665.2994
cycles,708468038.7410071,15352919843.802395
stall_cycles,388170298.34532374,3580111832.0958085
intra_coh,992982.1942446043,4210270.269461078
inter_coh,37.9136690647482,0.029940119760479042
wall_cycles,2113918765.791367,2106044451.3772454
llc_size,63925888.92086331,179571583.23353294
local_mem,590929625.323741,3107560147.5449104
remote_mem,4901055.539568345,18947556.40718563
