category,SparkDSLRCpu,SparkDSLRGpu
runtime,39.36991906166077,43.46957349777222
llc_references,100790104.6923077,104482618.95348836
llc_misses,782092296.3846154,798605959.7906977
instructions,1787034472.974359,1825720248.1860466
cycles,3570273131.8717947,3624407007.0465117
gpu_core_util,0.2564102564102564,0.23255813953488372
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.410256410256411,5.27906976744186
gpu_emc_freq,1600.0,1600.0
