category,ssd-eval-vgg-gpu-original,ssd-train-vgg-cpu
runtime,1328.4186191558838,1328.3943836688995
llc_references,52628234.48051948,76640163.5637149
llc_misses,2998577.817717996,3976958.5452020983
instructions,378221193.2034632,4983977824.760877
cycles,1056954251.0320038,4013126754.6035175
gpu_core_util,243.5930735930736,246.0706572045665
gpu_core_freq,6500.0,6500.0
gpu_emc_util,41.37755102040816,41.389231718605366
gpu_emc_freq,9330.0,9330.0
