category,SparkGPULRGpu
runtime,117.12571930885315
r016,42142443.56896552
r013,337011646.55172414
instructions,776633397.0862069
cycles,965032857.7068965
gr3d,0.02586206896551724
gr3d_freq,1300.0
emc,0.41379310344827586
emc_freq,1866.0
