category,ntail-sphinx,bfs
runtime,26.773014307022095,27.764334678649902
llc_references,256755268.14159292,298119.1666666667
llc_misses,73692754.55752212,106504.72222222222
instructions,11110093726.725664,5058231781.388889
cycles,12779830841.504423,1663915918.8888888
stall_cycles,6518903755.132743,118330921.66666666
intra_coh,19343.185840707964,0.0
inter_coh,4.557522123893805,2.5
wall_cycles,2118834189.2920353,2210526612.7777777
llc_size,175793070.44247788,38447786.666666664
local_mem,4454415224.070796,115361564.44444445
remote_mem,6739188.672566372,1037653.3333333333
