category,cfd
runtime,58.995091915130615
llc_references,94762661.8275862
llc_misses,12034374.534482758
instructions,32205538412.22414
cycles,15627367338.362068
stall_cycles,1853288962.310345
intra_coh,1088952.7413793104
inter_coh,0.13793103448275862
wall_cycles,2103732533.413793
llc_size,152890968.27586207
local_mem,231737555.86206898
remote_mem,914114.2068965518
