category,SparkGPULRGpu
runtime,27.466973304748535
r016,171462989.07407406
r013,1429034546.5925925
instructions,3279101407.814815
cycles,5605144141.296296
gr3d,0.0
gr3d_freq,140.0
emc,2.925925925925926
emc_freq,1866.0
