category,SparkGPULRGpu,GpuKMeansBatchGpu
runtime,34.47638821601868,56.32378816604614
llc_references,104937599.11764705,108922197.57142857
llc_misses,836048709.7647059,858299013.3035715
instructions,1925495599.264706,1961528520.625
cycles,3649381670.852941,3638074414.410714
gpu_core_util,0.0,2.017857142857143
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.235294117647059,4.660714285714286
gpu_emc_freq,1600.0,1600.0
