category,ssd-eval-vgg-gpu-large,ssd-train-vgg-cpu
runtime,145.37080550193787,244.71174240112305
llc_references,59811392.39598278,305002443.0698066
llc_misses,5470210.824964131,14891538.536585366
instructions,408104277.96269727,8246528522.14466
cycles,1313605284.2539456,6859628126.236333
gpu_core_util,124.71305595408894,74.7224558452481
gpu_core_freq,6500.0,6500.0
gpu_emc_util,32.05882352941177,25.294365012615643
gpu_emc_freq,9330.0,9330.0
