category,bodytrack,ntail-img-dnn
runtime,30.069149494171143,227.8247332572937
llc_references,53628166.573426574,46693004.37669377
llc_misses,2016841.3286713287,2684343.1571815717
instructions,25777874437.48252,1282098210.8401084
cycles,11276042847.727272,661445931.928636
stall_cycles,1070112671.3986014,113799337.4751581
intra_coh,7487428.181818183,105152.46612466124
inter_coh,0.6293706293706294,94.50316169828366
wall_cycles,2112861940.5244756,2100986235.6820235
llc_size,103338356.36363637,78875861.6802168
local_mem,73338450.34965035,1094042.7100271003
remote_mem,1099904.895104895,29896.72990063234
