category,ntail-xapian,streamcluster
runtime,50.65789842605591,117.32570791244507
llc_references,35374317.94372295,227821424.48065174
llc_misses,11610834.502164502,172330410.81466395
instructions,3952352085.9090905,10106886527.65784
cycles,2783402949.5238094,12975609598.73727
stall_cycles,956708417.6406926,8005899749.837067
intra_coh,43192.66233766234,12026283.951120162
inter_coh,94.04761904761905,0.6517311608961303
wall_cycles,2108693078.7445889,2438299985.4175153
llc_size,108730181.81818181,183286573.36048877
local_mem,1276801573.6796536,10905692931.649694
remote_mem,3227151.5151515147,12662729.775967414
