category,ntail-img-dnn,UA
runtime,68.247882604599,165.55078864097595
llc_references,163675095.203125,270594154.5843672
llc_misses,18324995.609375,186576419.8883375
instructions,4483000698.0625,23867087485.30397
cycles,2583151565.453125,15910848995.05583
stall_cycles,690451439.625,5399413934.832506
intra_coh,4127305.90625,368281.6377171216
inter_coh,36.734375,0.16749379652605456
wall_cycles,2105356057.34375,2102370343.9764266
llc_size,61638656.0,184081354.6401985
local_mem,2498799616.0,17784108339.454094
remote_mem,15346688.0,75197274.83870967
