category,GpuKMeansGpu
runtime,41.46971368789673
r016,167020072.46341464
r013,1362295420.5609756
instructions,3099866410.365854
cycles,5512345608.756098
gr3d,0.0
gr3d_freq,1300.0
emc,3.1219512195121952
emc_freq,1866.0
