category,MG
runtime,17.54409909248352
llc_references,493523605.90361446
llc_misses,377469803.73493975
instructions,33395132014.698795
cycles,15247778254.638556
stall_cycles,2700835853.5542164
intra_coh,2472122.951807229
inter_coh,0.060240963855421686
wall_cycles,2115140794.5180724
llc_size,208862442.40963852
local_mem,32506973270.361446
remote_mem,45958106.98795181
