category,ntail-xapian,swaptions
runtime,51.78322744369507,78.46783590316772
llc_references,35416203.928571425,325105.0
llc_misses,11253391.050420169,52873.18181818182
instructions,3949167268.7394958,2714483094.5454545
cycles,2608630093.172269,1186282261.818182
stall_cycles,778150290.5672269,131759101.81818181
intra_coh,44902.121848739494,0.4545454545454546
inter_coh,127.77310924369749,0.0
wall_cycles,2107857211.5336134,2266434600.909091
llc_size,110381348.57142857,1757556.3636363635
local_mem,618757593.277311,2085236.3636363635
remote_mem,6889540.840336135,29789.09090909091
