category,ntail-sphinx,SP
runtime,26.147475242614746,27.60546112060547
llc_references,258161244.63636366,8720430.5
llc_misses,85937504.68181819,8527572.0
instructions,11110476372.681818,3282760708.0
cycles,13473524213.818184,1359839985.75
stall_cycles,7183034881.136364,220327053.5
intra_coh,26599.681818181816,492.75
inter_coh,4.181818181818182,0.0
wall_cycles,2120444693.7272727,2205108312.0
llc_size,165231150.54545456,87146496.0
local_mem,3929699421.090909,1103970304.0
remote_mem,6473169.454545454,3194880.0
