category,ntail-moses,SP
runtime,75.86540985107422,152.0865387916565
llc_references,26730907.394957986,37133113.70179948
llc_misses,16292308.543417368,31861048.303341903
instructions,1066578882.5490196,1436315862.133676
cycles,848539909.229692,1139561186.55527
stall_cycles,386315718.5994398,537165401.5938303
intra_coh,593659.0056022409,16489.74293059126
inter_coh,73.54341736694677,0.012853470437017993
wall_cycles,2105149845.9103642,3989710110.655527
llc_size,185464126.3865546,10549779.742930591
local_mem,1314543851.2044816,3448991206.9922876
remote_mem,14806179.49579832,6844215.938303341
